NOUVELLES	O	7	0
SUISSES	O	8	0
—	O	10	0
En	B-time	11	0
1887	I-time	12	0
,	O	13	0
la	O	14	0
Société	B-org	15	0
suisse	I-org	16	0
du	I-org	17	0
Grutli	I-org	18	0
s	O	20	0
'	O	21	0
est	O	22	0
accrue	O	23	0
de	O	24	0
40	O	25	0
sections	O	26	0
;	O	27	0
l	O	28	0
'	O	29	0
association	O	30	0
compte	O	32	0
actuellement	O	33	0
12,000	O	34	0
membres	O	35	0
.	O	36	0
Environ	O	38	0
30,000	O	39	0
fr	O	40	0
.	O	41	0
ont	O	42	0
été	O	43	0
versés	O	44	0
dans	O	45	0
la	O	47	0
caisse	O	48	0
créée	O	49	0
pour	O	50	0
subventionner	O	51	0
les	O	52	0
grèves	O	54	0
.	O	55	0
Ecoles	O	57	0
de	O	58	0
fonctionnaires	O	59	0
.	O	60	0
—	O	61	0
On	O	62	0
parle	O	63	0
de	O	65	0
fonder	O	66	0
deux	O	67	0
facultés	O	68	0
de	O	69	0
sciences	O	70	0
politiques	O	72	0
,	O	73	0
l	O	74	0
'	O	75	0
une	O	76	0
à	O	77	0
Berne	B-loc	78	0
,	O	79	0
l	O	80	0
'	O	81	0
autre	O	82	0
à	O	83	0
Genève	B-loc	84	0
ou	O	86	0
à	O	87	0
Lausanne	B-loc	88	0
,	O	89	0
afin	O	90	0
de	O	91	0
donner	O	92	0
ainsi	O	93	0
aux	O	94	0
aspirants	O	96	0
au	O	97	0
service	O	98	0
fédéral	O	99	0
,	O	100	0
l	O	101	0
'	O	102	0
occasion	O	103	0
d	O	105	0
'	O	106	0
acquérir	O	107	0
les	O	108	0
connaissances	O	109	0
qui	O	110	0
leur	O	111	0
sont	O	112	0
nécessaires	O	114	0
.	O	115	0
Chemins	O	117	0
de	O	118	0
fer	O	119	0
.	O	120	0
—	O	121	0
Le	O	122	0
conseil	O	123	0
supérieur	O	124	0
des	O	126	0
travaux	O	127	0
publics	O	128	0
,	O	129	0
à	O	130	0
Rome	B-loc	131	0
,	O	132	0
a	O	133	0
approuvé	O	134	0
la	O	136	0
construction	O	137	0
d	O	138	0
'	O	139	0
une	O	140	0
voie	O	141	0
ferrée	O	142	0
Ortafrontière	B-loc	144	0
suisse	O	145	0
(	O	146	0
Brissago	B-loc	147	0
)	O	148	0
par	O	149	0
la	O	150	0
rive	O	151	0
droite	O	153	0
du	O	154	0
lac	B-loc	155	0
Majeur	I-loc	156	0
,	O	157	0
soit	O	158	0
par	O	159	0
Pallanza	B-loc	160	0
,	O	161	0
Intra	B-loc	163	0
et	O	164	0
Canobbio	B-loc	165	0
.	O	166	0
Agriculture	O	168	0
.	O	169	0
—	O	170	0
Le	O	171	0
département	O	172	0
de	O	173	0
l	O	175	0
'	O	176	0
industrie	O	177	0
et	O	178	0
de	O	179	0
l	O	180	0
'	O	181	0
agriculture	O	182	0
est	O	183	0
autorisé	O	184	0
à	O	186	0
compléter	O	187	0
son	O	188	0
instruction	O	189	0
du	B-time	190	0
17	I-time	191	0
novembre	I-time	193	0
1885	I-time	194	0
concernant	O	195	0
le	O	196	0
poinçonnage	O	197	0
des	O	198	0
balances	O	200	0
à	O	201	0
cadran	O	202	0
pour	O	203	0
le	O	204	0
commerce	O	205	0
du	O	206	0
lait	O	208	0
dans	O	209	0
les	O	210	0
laiteries	O	211	0
,	O	212	0
fromageries	O	213	0
et	O	214	0
autres	O	216	0
établissements	O	217	0
semblables	O	218	0
,	O	219	0
en	O	220	0
ce	O	221	0
sens	O	223	0
que	O	224	0
les	O	225	0
balances	O	226	0
à	O	227	0
cadran	O	228	0
système	O	229	0
Bovat	B-pers	231	0
,	I-pers	232	0
mécanicien	I-pers	233	0
à	I-pers	234	0
Echallens	I-pers	235	0
,	O	236	0
seront	O	237	0
